school_name,state,number_of_ratings,facilities,location,happiness,opportunities,clubs,social,safety,food,internet
Brigham Young University - Hawaii,Hawaii,177.0,3.6,4.1,4.4,3.7,3.8,3.7,4.3,2.7,3.3
Brigham Young University,Utah,1716.0,4.6,4.3,4.5,4.5,4.2,4.3,4.7,4.1,4.0
Brescia University,Kentucky,20.0,3.2,3.5,3.4,3.2,3.0,3.1,4.3,2.8,2.9
Bridgewater State University,Massachusetts,353.0,3.8,3.5,3.8,3.6,3.3,3.2,3.9,3.2,3.5
Briar Cliff University,Iowa,13.0,2.9,2.6,2.5,2.7,2.5,2.5,3.3,1.9,2.5
Brown University,Rhode Island,57.0,4.5,4.5,4.7,4.5,4.5,4.5,4.5,4.0,4.6
Bryant University,Rhode Island,211.0,4.2,3.5,4.3,4.4,3.9,3.7,4.5,2.8,3.5
Bryn Mawr College,Pennsylvania,105.0,4.6,4.2,4.1,4.2,3.7,3.3,4.8,4.0,4.2
Bucknell University,Pennsylvania,130.0,4.6,3.4,4.6,4.5,4.1,4.2,4.5,3.7,4.1
Buena Vista University,Iowa,22.0,4.0,3.3,4.5,4.1,3.7,3.7,4.7,3.0,3.8
Butler University,Indiana,309.0,4.2,4.1,4.2,4.2,3.8,3.8,3.9,2.4,3.9
California Baptist University,California,226.0,4.5,3.7,4.3,4.1,3.7,3.9,4.1,4.4,3.4
Caldwell University,New Jersey,98.0,3.4,3.7,3.6,3.3,3.1,2.9,4.6,2.9,2.7
California Polytechnic State University,California,120.0,4.1,4.5,4.3,4.4,4.3,4.2,4.4,2.9,3.7
California Lutheran University,California,182.0,4.0,4.0,4.0,3.8,3.3,3.1,4.5,3.1,3.8
California Institute of Technology,California,17.0,4.5,4.2,4.1,4.2,3.2,3.5,4.8,2.9,4.2
California Maritime Academy,California,37.0,2.5,2.1,2.5,3.5,2.1,2.1,2.0,1.8,2.8
California State University San Marcos,California,384.0,4.0,3.8,3.7,3.6,3.3,3.1,4.1,3.1,3.9
California Institute of the Arts,California,27.0,2.7,2.7,3.0,3.6,2.9,3.4,2.7,2.7,3.6
California State University Stanislaus,California,270.0,3.9,3.5,3.8,3.3,3.1,3.2,4.3,3.3,3.5
California State University Los Angeles,California,498.0,3.2,3.4,3.2,3.2,3.0,2.8,2.9,3.0,3.4
California State University Dominguez Hills,California,292.0,3.9,3.7,4.1,3.9,3.4,3.4,4.3,3.5,3.7
California State University Fresno,California,500.0,3.6,3.3,3.7,3.5,3.4,3.4,3.1,3.2,3.6
California State University - Northridge,California,698.0,4.1,3.9,4.0,3.8,3.7,3.5,3.8,3.5,3.8
California State University Chico,California,379.0,4.4,4.1,4.3,4.0,4.0,4.3,3.3,3.4,4.0
California State University - Sacramento,California,562.0,3.7,3.7,3.6,3.4,3.4,3.3,3.5,3.3,3.6
California State University Fullerton,California,674.0,3.7,3.9,3.8,3.6,3.6,3.3,3.7,3.3,3.6
California State University - East Bay,California,296.0,3.5,3.6,3.5,3.3,3.0,2.9,4.0,2.9,3.4
California State University San Bernardino,California,365.0,4.0,3.5,4.0,3.8,3.5,3.4,3.2,3.4,3.9
California State University Monterey Bay,California,228.0,3.3,3.9,3.8,3.3,3.1,2.9,4.0,2.7,3.5
Calumet College of St. Joseph,Indiana,7.0,3.6,3.3,4.3,3.0,3.7,4.1,4.0,3.1,4.4
Calvin University,Michigan,198.0,4.2,4.2,4.2,4.2,3.9,3.8,4.6,3.0,3.5
Cameron University,Oklahoma,114.0,3.6,3.2,3.4,3.1,2.9,3.0,3.9,2.9,2.9
Campbell University,North Carolina,174.0,3.9,2.7,3.8,3.6,3.3,3.2,4.5,2.7,2.8
Campbellsville University,Kentucky,34.0,3.7,3.1,3.3,3.1,2.6,2.8,3.7,2.8,3.0
Capital University,Ohio,94.0,3.6,4.0,4.1,3.9,3.8,3.7,3.9,3.0,2.6
Capitol Technology University,Maryland,26.0,3.2,3.3,3.6,4.1,2.4,2.3,4.1,2.4,3.5
Carnegie Mellon University,Pennsylvania,155.0,3.9,3.9,3.6,4.3,3.6,3.1,4.1,2.8,4.3
Carlow University,Pennsylvania,61.0,3.3,4.0,3.7,3.5,2.9,2.9,4.0,2.7,2.8
Carleton College,Minnesota,147.0,4.5,3.7,4.6,4.4,4.2,4.3,4.8,3.3,4.2
Carroll University,Wisconsin,121.0,3.4,3.6,3.4,3.4,3.2,3.0,4.3,2.9,2.9
Carroll College,Montana,57.0,3.7,3.6,4.0,3.9,3.1,3.5,3.9,2.2,3.1
Carson-Newman University,Tennessee,71.0,3.3,3.4,3.8,3.6,3.2,3.4,4.3,2.6,2.7
Case Western Reserve University,Ohio,314.0,3.7,3.5,3.9,4.2,3.8,3.3,3.0,3.1,4.1
Carthage College,Wisconsin,133.0,3.8,4.1,3.8,3.7,3.7,3.5,3.4,2.6,2.4
Cedar Crest College,Pennsylvania,56.0,3.4,3.5,3.2,3.4,3.0,2.6,3.9,2.4,2.7
Catawba College,North Carolina,47.0,3.2,3.0,3.0,3.1,3.1,3.0,3.1,2.2,2.2
