school_name,state,number_of_ratings,facilities,location,happiness,opportunities,clubs,social,safety,food,internet
South Puget Sound Community College,Washington,141.0,3.9,3.8,3.6,3.4,3.2,3.0,4.1,3.1,3.1
South Hills School of Business and Technology,Pennsylvania,9.0,3.7,4.1,3.4,3.6,2.9,2.6,4.0,2.1,2.8
South Piedmont Community College,North Carolina,14.0,3.5,4.1,4.0,3.6,3.0,3.0,4.1,3.1,3.4
South Seattle College,Washington,46.0,3.2,3.5,3.5,3.2,2.9,2.9,3.5,2.9,2.8
South Plains College,Texas,57.0,3.4,2.8,3.6,3.6,2.8,2.9,4.0,2.9,3.4
South Suburban College,Illinois,39.0,2.4,3.2,3.0,2.9,2.2,2.2,3.4,2.3,3.1
South Mountain Community College,Arizona,63.0,4.0,4.0,4.2,3.7,3.3,3.3,4.1,3.3,4.2
Southeast Arkansas College,Arkansas,6.0,3.5,3.3,3.8,3.5,2.5,2.8,5.0,2.7,3.0
Southeastern Baptist Theological Seminary,North Carolina,28.0,4.0,4.2,4.3,3.4,2.3,2.8,4.4,2.4,3.2
Southeast Kentucky Community & Technical College,Kentucky,3.0,4.0,4.0,4.3,4.3,3.0,3.7,4.5,3.7,4.0
Southeastern Community College,North Carolina,11.0,2.5,2.5,3.5,3.1,2.5,2.2,3.8,2.9,3.9
Southern State Community College,Ohio,21.0,3.8,4.2,4.0,3.7,2.0,2.7,4.6,2.1,3.7
Southern Arkansas University Tech,Arkansas,3.0,2.3,2.7,4.0,2.3,1.3,2.3,5.0,3.3,2.7
Southeast Technical Institute,South Dakota,8.0,3.8,3.6,3.1,4.1,2.3,2.3,4.5,1.8,4.1
Southern Union State Community College,Alabama,9.0,3.2,2.8,3.3,2.9,2.7,2.8,5.0,2.7,2.4
Southeastern Illinois College,Illinois,12.0,3.3,3.7,3.8,3.1,3.0,2.8,4.0,3.3,3.7
Southern Maine Community College,Maine,157.0,3.7,4.2,3.7,3.4,2.8,2.7,3.7,2.9,3.3
Southwest Florida College,Florida,15.0,2.1,2.3,2.5,2.0,1.8,2.0,2.9,1.7,2.3
Southside Virginia Community College,Virginia,11.0,4.2,3.8,4.3,4.3,3.5,3.5,4.5,3.4,4.3
Southern University at Shreveport,Louisiana,10.0,2.2,2.4,2.5,2.2,1.9,2.0,2.4,2.3,2.4
Southwest Georgia Technical College,Georgia,4.0,3.5,3.5,3.5,3.3,3.0,3.3,3.9,2.5,4.0
Southwest Virginia Community College,Virginia,18.0,3.1,3.3,2.8,2.8,2.5,2.4,4.1,2.7,3.2
Southwest Wisconsin Technical College,Wisconsin,10.0,3.0,2.5,2.6,2.9,2.5,2.4,3.5,3.2,2.6
Southwest Mississippi Community College,Mississippi,7.0,3.7,3.9,3.7,4.3,3.7,3.6,4.5,3.3,3.1
Southwestern Community College,North Carolina,22.0,4.1,4.0,4.0,3.7,2.8,3.3,4.6,2.3,4.1
Southwestern Community College,Iowa,9.0,4.0,2.7,3.3,3.1,2.1,2.6,4.6,3.4,3.4
Southwestern Michigan College,Michigan,47.0,3.8,3.0,3.8,3.2,2.7,2.8,3.5,3.1,3.1
Southwestern Illinois College,Illinois,145.0,3.4,3.7,3.7,3.2,2.7,2.8,3.5,2.8,2.8
Southwestern Indian Polytechnic Institute,New Mexico,7.0,1.7,3.0,2.7,2.4,1.7,1.7,3.3,1.9,1.6
Southwestern Oregon Community College,Oregon,25.0,3.6,3.7,3.2,2.7,2.8,2.6,3.4,2.8,3.1
Spartanburg Community College,South Carolina,67.0,3.9,4.0,4.1,3.7,2.6,2.9,4.2,2.8,3.6
Spokane Community College,Washington,95.0,3.4,3.2,3.5,3.2,3.0,2.7,3.0,3.0,3.1
St. Cloud Technical & Community College,Minnesota,44.0,3.3,3.4,3.2,3.5,2.4,2.5,3.3,2.9,3.7
Spokane Falls Community College,Washington,164.0,3.4,3.6,3.5,3.0,3.0,2.9,3.8,2.6,3.1
Springfield Technical Community College,Massachusetts,86.0,3.5,3.0,3.9,3.5,3.0,3.0,3.3,2.7,3.5
St. Johns River State College,Florida,35.0,3.7,3.6,3.9,3.3,2.8,2.9,3.9,3.4,3.4
Saint Paul College,Minnesota,75.0,3.7,4.1,3.6,3.4,2.8,3.0,3.6,3.4,3.8
Stark State College,Ohio,105.0,3.8,4.0,3.9,3.4,2.6,2.4,4.2,3.1,3.8
Suffolk County Community College,New York,266.0,3.4,3.7,3.8,3.5,3.4,2.9,3.8,3.1,3.2
State Fair Community College,Missouri,29.0,3.7,3.8,3.7,3.3,2.7,3.0,4.7,2.8,3.8
Stanly Community College,North Carolina,10.0,2.9,3.3,4.1,2.7,3.7,3.0,5.0,3.1,3.2
SUNY Sullivan County Community College,New York,15.0,3.0,2.8,3.5,3.3,2.5,3.3,3.8,2.5,2.6
Sussex County Community College,New Jersey,72.0,3.4,3.8,3.4,2.8,3.0,2.8,4.2,2.7,3.2
Tacoma Community College,Washington,187.0,3.7,3.8,3.8,3.5,3.2,3.1,3.8,2.9,3.3
Surry Community College,North Carolina,32.0,3.9,3.6,3.8,3.5,3.0,2.9,4.4,3.5,3.4
Taft College,California,58.0,3.8,3.1,4.1,3.9,3.3,3.2,3.9,3.5,3.7
Taylor Business Institute,Illinois,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,1.0,1.0
Temple College,Texas,54.0,3.6,3.7,3.7,3.4,2.5,2.9,3.7,2.6,3.7
Terra Community College,Ohio,23.0,3.7,3.4,3.2,2.6,2.7,2.6,2.7,3.4,2.8
Tallahassee State College,Florida,266.0,4.0,4.0,4.2,3.9,3.3,3.3,4.2,3.2,3.7
Technical College of the Lowcountry,South Carolina,22.0,3.0,3.5,3.1,3.0,2.0,2.3,3.7,2.2,3.0
Texas Southmost College,Texas,38.0,3.7,3.9,3.9,3.8,3.6,3.8,4.2,2.9,4.0
Texarkana College,Texas,19.0,3.3,3.1,3.2,2.8,2.2,2.5,4.3,3.1,3.5
Thaddeus Stevens College of Technology,Pennsylvania,18.0,2.5,2.8,3.2,3.8,2.3,1.9,2.0,1.9,2.5
Thomas Nelson Community College,Virginia,133.0,3.2,3.5,3.5,3.1,2.5,2.5,4.2,2.4,3.0
Trenholm State Community College,Alabama,6.0,2.5,2.3,2.8,3.3,2.3,2.0,2.0,1.3,2.8
Treasure Valley Community College,Oregon,10.0,3.0,2.4,3.5,3.2,2.7,3.4,3.0,3.0,3.1
Tri-County Community College,North Carolina,10.0,2.0,2.6,1.5,1.7,1.6,2.1,4.0,1.9,2.3
Tri-County Technical College,South Carolina,134.0,3.5,3.4,3.3,3.0,2.3,2.5,4.1,3.0,3.5
Trinity Valley Community College,Texas,25.0,3.5,3.5,3.8,3.1,2.9,2.8,4.6,2.9,3.5
Trocaire College,New York,35.0,3.2,3.1,3.1,3.4,2.7,2.8,3.7,2.2,3.5
Tyler Junior College,Texas,199.0,3.7,3.8,3.8,3.7,3.4,3.4,3.8,3.1,3.1
Tulsa Community College,Oklahoma,406.0,3.8,4.1,3.9,3.6,3.1,3.1,4.2,3.2,3.7
Universal Technical Institute,Arizona,5.0,1.6,2.4,2.0,2.2,1.0,1.8,4.0,1.0,1.6
Universal Technical Institute,Texas,2.0,2.5,2.0,2.0,3.0,1.5,2.0,2.8,1.0,1.0
University of Arkansas Community College at Hope,Arkansas,4.0,3.5,3.8,3.8,3.3,2.8,3.3,5.0,2.5,3.5
University of Cincinnati Blue Ash College,Ohio,104.0,3.4,3.9,3.9,3.4,2.8,2.9,4.4,2.8,3.4
University of Hawaii Maui College,Hawaii,31.0,3.4,4.2,3.6,3.1,2.5,2.5,4.4,3.5,3.9
Leeward Community College,Hawaii,97.0,3.6,3.8,3.8,3.8,3.1,3.1,3.8,3.3,3.6
Valley College of Technology,West Virginia,1.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0
Valley Forge Military College,Pennsylvania,10.0,2.1,3.1,2.5,3.5,1.9,2.1,4.3,1.7,1.9
Vance-Granville Community College,North Carolina,14.0,2.8,2.5,3.1,3.3,2.2,2.4,2.6,2.1,3.1
Vernon College,Texas,5.0,4.4,3.0,4.4,2.0,1.8,2.2,5.0,2.0,3.2
Urban College of Boston,Massachusetts,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Virginia Western Community College,Virginia,108.0,3.6,3.6,3.6,3.3,2.6,2.7,4.3,2.8,3.4
Victoria College,Texas,61.0,3.9,3.8,4.0,3.4,3.0,3.1,3.8,3.2,3.6
Virginia Highlands Community College,Virginia,24.0,2.8,3.4,3.2,3.0,2.5,2.4,4.2,2.4,3.9
Volunteer State Community College,Tennessee,145.0,4.0,4.1,4.2,3.7,3.1,3.2,4.5,3.5,3.8
Wallace State Community College at Hanceville,Alabama,96.0,3.3,2.8,3.4,3.3,2.4,2.5,3.9,2.9,3.0
Walla Walla Community College,Washington,26.0,3.5,3.6,3.9,3.4,2.8,2.9,4.4,3.5,3.2
Washington County Community College,Maine,1.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0
Walters State Community College,Tennessee,87.0,3.7,3.8,3.7,3.4,3.0,2.9,4.3,3.2,3.7
Wake Technical Community College,North Carolina,373.0,3.5,3.6,3.6,3.5,2.8,2.8,4.3,2.7,3.3
Waubonsee Community College,Illinois,187.0,4.1,3.9,4.0,3.6,3.2,3.0,4.4,3.4,3.4
Waukesha County Technical College,Wisconsin,35.0,4.2,4.1,4.2,4.1,3.5,3.4,3.8,3.7,4.1
Warren County Community College,New Jersey,37.0,3.6,3.7,3.9,2.9,3.1,3.0,4.3,3.6,2.8
Weatherford College,Texas,96.0,3.7,3.8,3.8,3.5,2.9,3.1,4.6,3.2,3.8
Washtenaw Community College,Michigan,289.0,4.1,4.2,4.3,3.9,3.3,3.2,4.2,3.3,3.4
Wayne County Community College,Michigan,201.0,3.0,3.5,3.0,2.8,2.3,2.6,3.6,2.5,3.0
Webster University,Florida,1.0,5.0,5.0,5.0,4.0,2.0,3.0,5.0,3.0,5.0
Wenatchee Valley College,Washington,50.0,3.5,3.9,3.5,3.1,2.7,2.6,4.1,2.9,3.4
West Los Angeles College,California,153.0,3.6,3.9,3.7,3.4,2.8,2.9,4.4,2.7,3.1
West Valley College,California,190.0,4.2,4.4,4.1,3.6,3.1,3.2,4.2,3.6,3.5
West Shore Community College,Michigan,22.0,3.4,3.0,3.5,2.9,2.8,2.7,4.1,3.2,2.9
West Virginia Junior College,West Virginia,1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0
West Virginia Northern Community College,West Virginia,3.0,4.3,4.0,3.7,4.3,3.7,3.7,5.0,3.7,5.0
Western Iowa Tech Community College,Iowa,19.0,3.7,3.4,3.3,3.4,2.9,2.5,4.8,2.7,3.5
Western Nevada College,Nevada,64.0,3.5,3.8,3.7,3.2,2.6,2.7,4.6,3.3,3.3
Western Oklahoma State College,Oklahoma,10.0,3.9,3.2,3.9,3.5,2.9,3.1,4.5,3.7,4.1
Western Nebraska Community College,Nebraska,6.0,3.7,3.8,4.2,4.0,2.5,2.5,4.7,4.0,4.5
Western Piedmont Community College,North Carolina,24.0,4.1,4.3,4.1,3.5,3.0,3.3,4.9,3.0,3.6
Western Texas College,Texas,12.0,2.8,2.6,3.5,2.8,2.4,2.6,2.7,2.6,3.0
Western Wyoming Community College,Wyoming,15.0,4.2,3.7,4.1,3.8,3.7,3.6,4.3,2.8,3.7
Wharton County Junior College,Texas,24.0,3.5,4.0,4.0,3.4,2.5,2.6,3.4,3.0,3.5
Whatcom Community College,Washington,163.0,4.1,4.2,4.3,3.7,3.5,3.3,4.5,2.9,3.5
Wilkes Community College,North Carolina,26.0,4.2,4.1,4.3,3.5,3.0,3.0,4.6,2.8,3.6
Westmoreland County Community College,Pennsylvania,56.0,3.5,3.6,3.8,3.4,3.1,2.9,4.6,2.8,3.1
Williamsburg Technical College,South Carolina,3.0,3.7,3.7,3.7,2.3,2.3,3.0,5.0,2.0,4.7
Wilson Community College,North Carolina,5.0,2.2,2.8,3.8,2.4,1.4,1.2,2.5,1.6,2.4
Williston State College,North Dakota,5.0,3.6,3.0,3.6,3.6,2.4,3.4,2.3,3.0,3.8
Wor-Wic Community College,Maryland,35.0,3.9,3.7,4.1,3.7,3.1,3.1,4.4,3.5,4.0
Yakima Valley College,Washington,83.0,3.4,3.0,3.0,3.0,2.8,2.7,2.7,2.8,3.3
Wytheville Community College,Virginia,13.0,3.2,2.9,2.4,3.0,1.6,1.8,4.4,1.6,3.5
York County Community College,Maine,16.0,3.3,3.9,3.9,3.0,2.4,2.3,4.5,2.9,3.0
YTI Career Institute,Pennsylvania,4.0,3.0,3.5,2.8,1.8,1.0,1.8,4.0,1.0,2.8
York Technical College,South Carolina,47.0,2.9,3.4,3.4,3.3,2.2,2.4,4.3,2.4,2.9
University of Missouri - Kansas City,Missouri,268.0,3.7,4.0,3.5,3.5,3.1,2.8,3.6,2.8,3.3
Louisiana State University,Louisiana,577.0,4.3,3.9,4.3,4.2,4.2,4.4,3.0,3.8,3.8
University of Redlands,California,126.0,4.0,3.6,3.7,3.7,3.5,3.6,3.7,3.0,3.2
Franciscan University of Steubenville,Ohio,154.0,3.6,2.7,4.1,3.5,3.7,3.8,4.0,2.6,2.7
St. Joseph's College,New York,29.0,3.5,3.8,3.0,3.1,2.9,2.8,3.9,3.1,3.6
St. Joseph's College,New York,132.0,3.3,3.5,3.5,3.5,3.4,3.1,4.1,2.8,3.7
Waldorf University,Iowa,14.0,3.4,3.0,3.1,3.4,3.1,2.9,3.3,2.6,3.2
Spartan College of Aeronautics & Technology,Oklahoma,7.0,2.1,2.1,2.3,3.3,2.3,2.4,1.5,2.0,2.7
Eastern Michigan University,Michigan,128.0,3.8,3.5,3.9,3.7,3.6,3.5,3.3,3.1,3.8
University of Tulsa,Oklahoma,173.0,4.2,3.7,4.1,4.1,3.7,3.7,4.1,3.1,3.2
Furman University,South Carolina,191.0,4.5,4.2,4.0,4.2,3.7,3.5,4.4,3.3,3.3
University of West Florida,Florida,315.0,3.9,4.1,4.0,3.7,3.6,3.5,4.1,3.1,3.5
University of the Incarnate Word,Texas,188.0,4.1,4.2,4.2,4.1,3.7,3.7,3.9,3.4,4.0
Merrimack College,Massachusetts,110.0,3.8,3.6,3.9,3.8,3.6,3.6,4.4,2.5,2.9
University of South Alabama,Alabama,437.0,4.0,4.0,4.1,3.8,3.7,3.7,3.8,3.2,3.7
University of Missouri - St. Louis,Missouri,190.0,3.6,3.1,3.8,3.7,3.1,3.0,3.4,3.0,3.8
St. Francis College,New York,101.0,3.3,3.9,3.2,3.2,2.9,2.7,4.0,3.1,3.4
University of Wisconsin - La Crosse,Wisconsin,469.0,4.3,4.5,4.4,4.1,4.1,4.2,4.4,3.0,3.4
University of Wisconsin - Eau Claire,Wisconsin,531.0,4.1,4.0,4.0,3.9,3.7,3.6,4.0,3.0,3.6
Northcentral University,California,37.0,2.9,3.5,2.8,2.8,2.3,2.2,3.0,2.5,3.6
University of Wisconsin - Platteville,Wisconsin,321.0,3.8,3.3,4.0,3.7,3.6,3.3,4.4,3.3,3.7
University of Massachusetts - Boston,Massachusetts,432.0,3.1,3.7,3.3,3.2,2.9,2.7,3.7,2.9,3.0
Florida Gulf Coast University,Florida,578.0,4.3,4.0,4.1,3.8,3.7,3.7,4.4,3.5,3.3
Fairleigh Dickinson University - Florham,New Jersey,129.0,3.5,3.8,3.5,3.4,3.3,3.1,4.2,2.3,2.6
Roberts Wesleyan University,New York,58.0,3.2,3.2,3.3,3.2,2.7,2.6,4.6,2.6,2.8
University of Maryland Global Campus,Maryland,262.0,3.3,3.8,3.5,3.3,2.8,2.9,3.7,3.0,3.6
University of North Carolina Wilmington,North Carolina,612.0,4.3,4.7,4.3,4.0,4.0,4.1,4.2,3.4,3.5
Fayetteville State University,North Carolina,90.0,3.1,2.3,3.1,3.2,3.0,3.1,2.5,3.1,3.2
University of South Carolina Upstate,South Carolina,160.0,3.5,3.3,3.3,3.2,2.8,2.8,3.6,2.5,3.0
Franklin and Marshall College,Pennsylvania,111.0,4.2,3.7,4.1,4.2,3.8,3.5,4.2,3.0,3.6
Fitchburg State University,Massachusetts,178.0,3.5,2.6,3.6,3.5,3.4,3.3,3.5,2.7,3.4
Vanderbilt University,Tennessee,320.0,4.6,4.7,4.6,4.5,4.5,4.5,4.5,4.0,4.2
Viterbo University,Wisconsin,71.0,3.6,3.4,3.7,3.5,2.9,3.1,3.0,2.9,3.2
DeVry University,Ohio,6.0,3.5,2.7,2.8,3.3,1.8,1.7,4.0,2.8,3.7
Utah State University,Utah,624.0,4.4,4.2,4.4,4.0,3.8,4.0,4.6,3.6,3.9
The University of Texas at El Paso,Texas,336.0,3.7,3.5,3.5,3.5,3.2,3.1,4.2,3.2,3.5
Alfred State College of Technology,New York,99.0,2.9,2.6,3.2,3.1,3.2,3.1,3.5,2.5,2.2
Vassar College,New York,163.0,4.5,3.5,4.5,4.3,4.2,4.0,4.4,3.3,3.9
Savannah State University,Georgia,90.0,3.1,3.4,3.2,3.1,3.3,3.4,2.2,2.6,2.5
Mount Saint Mary's University,California,98.0,3.3,3.1,2.9,3.0,2.6,2.4,3.7,2.7,2.8
University of Richmond,Virginia,147.0,4.7,4.2,4.4,4.5,3.9,4.0,4.5,4.2,4.1
Midway University,Kentucky,12.0,3.3,3.2,3.6,3.4,2.8,3.0,5.0,2.4,2.8
SUNY Canton,New York,73.0,3.2,2.9,3.1,3.0,2.9,2.6,3.7,2.5,3.2
Kingsborough Community College,New York,356.0,4.0,4.1,4.1,3.8,3.6,3.5,4.4,3.3,3.3
Baker College of Muskegon,Michigan,35.0,3.8,3.5,3.6,3.4,2.6,2.7,5.0,3.4,3.6
Drury University,Missouri,52.0,3.9,3.6,4.2,4.1,3.7,3.8,2.8,3.1,3.5
School of Visual Arts,New York,124.0,3.2,4.4,3.9,3.9,2.9,3.2,4.0,2.6,3.4
Lander University,South Carolina,134.0,3.8,3.0,3.8,3.6,3.3,3.3,4.0,2.7,3.1
Florida Institute of Technology,Florida,171.0,3.4,3.6,3.5,3.8,3.5,3.1,4.2,3.1,2.8
Northwood University,Texas,5.0,3.6,3.6,4.4,3.6,2.8,3.4,5.0,3.0,4.4
Community College of Baltimore County,Maryland,129.0,3.4,3.7,3.6,3.5,3.0,3.0,3.7,2.7,3.2
Denison University,Ohio,158.0,3.7,3.7,3.6,3.7,3.4,3.2,4.3,2.6,3.3
Mississippi Gulf Coast Community College,Mississippi,30.0,4.3,4.2,4.5,4.0,3.5,3.5,4.6,3.8,4.3
Mississippi Gulf Coast Community College,Mississippi,12.0,4.0,3.5,4.3,3.9,3.5,3.7,4.4,3.1,3.9
Mississippi Gulf Coast Community College,Mississippi,44.0,4.1,4.2,3.9,3.7,3.3,3.2,4.3,3.3,3.8
University of Wisconsin - River Falls,Wisconsin,290.0,3.9,3.9,3.8,3.5,3.6,3.3,4.2,2.7,3.5
University of Houston Downtown,Texas,328.0,3.6,3.7,3.8,3.6,3.3,3.2,3.3,3.3,4.1
Utica University,New York,63.0,3.3,3.1,3.3,3.6,3.4,3.2,3.7,2.3,3.3
Queensborough Community College,New York,391.0,3.8,3.8,4.0,3.7,3.4,3.3,4.4,3.0,3.7
Capella University,Minnesota,95.0,3.3,3.6,3.3,3.2,3.0,3.0,3.4,3.1,3.6
University of Wisconsin - Superior,Wisconsin,47.0,3.7,3.6,3.7,3.3,3.1,3.1,4.2,2.8,3.4
DigiPen Institute of Technology,Washington,31.0,3.4,3.8,3.3,4.2,2.9,2.4,4.6,3.3,2.9
Mary Baldwin University,Virginia,57.0,3.4,3.5,3.4,3.2,3.1,2.7,3.3,2.7,3.0
Maine College of Art,Maine,13.0,3.2,4.2,3.2,3.5,2.6,2.9,2.0,2.6,2.4
University of New Haven,Connecticut,258.0,3.5,3.0,3.7,3.8,3.8,3.4,3.7,2.6,3.0
Indiana University South Bend,Indiana,121.0,3.6,3.6,3.9,3.3,3.1,2.8,3.8,3.0,3.7
Spelman College,Georgia,76.0,3.9,3.4,4.2,4.6,4.4,4.3,3.6,2.8,3.1
DeVry University,Arizona,11.0,3.0,3.1,2.5,2.7,2.2,2.0,5.0,2.5,3.1
Dakota State University,South Dakota,61.0,3.3,2.7,3.6,3.6,3.2,2.4,4.5,2.1,4.2
University of Texas at Tyler,Texas,186.0,3.8,3.7,3.9,3.5,3.2,3.2,4.2,3.1,3.6
Morris Brown College,Georgia,6.0,3.3,4.3,4.5,4.3,3.5,3.3,4.3,3.7,3.5
University of Montevallo,Alabama,148.0,4.2,3.5,4.0,3.7,3.5,3.5,4.5,2.8,2.5
Florida Southern College,Florida,104.0,3.7,4.0,3.6,3.8,3.6,3.4,3.9,2.8,2.6
Walsh College,Michigan,71.0,3.2,3.4,3.2,3.3,2.6,2.5,3.9,2.6,3.3
ECPI University,South Carolina,1.0,4.0,5.0,5.0,4.0,3.0,4.0,4.9,3.0,5.0
DeVry University,Texas,3.0,3.7,3.7,3.3,3.0,2.7,3.3,4.0,3.0,4.3
University of Science and Arts of Oklahoma,Oklahoma,23.0,3.6,3.0,3.9,3.6,3.3,3.2,3.1,2.6,3.1
Berkeley College,New York,65.0,3.1,4.2,3.2,3.2,2.9,2.8,4.3,2.4,3.3
Upper Iowa University,Iowa,26.0,3.4,2.6,3.1,2.9,2.8,3.0,3.5,2.8,2.9
Fresno Pacific University,California,34.0,3.6,2.6,3.4,3.4,2.9,3.0,3.3,2.9,3.1
Fairleigh Dickinson University - Metropolitan,New Jersey,109.0,2.9,3.4,3.1,3.2,2.7,2.6,3.7,2.4,3.0
Moore College of Art and Design,Pennsylvania,30.0,2.8,4.3,2.8,3.0,2.0,2.0,3.1,1.9,3.1
Fort Lewis College,Colorado,102.0,3.9,4.6,4.1,3.5,3.4,3.5,4.2,2.2,3.4
University of Puget Sound,Washington,142.0,4.4,4.0,4.1,3.9,3.8,3.5,3.9,3.4,3.1
Marine Institute,New York,15.0,3.5,4.2,3.7,4.1,2.5,3.1,4.6,3.9,3.5
Milwaukee Institute of Art & Design,Wisconsin,45.0,3.3,3.7,3.6,3.3,2.4,2.9,3.4,2.1,2.4
Fontbonne University,Missouri,30.0,3.4,4.0,3.8,3.1,2.9,2.9,3.7,3.1,3.0
Fairmont State University,West Virginia,89.0,4.0,3.4,3.8,3.2,2.8,3.1,3.9,3.1,2.9
Dalton State College,Georgia,166.0,3.8,3.8,3.6,3.1,2.8,2.9,4.4,3.2,3.4
Delaware Valley University,Pennsylvania,116.0,3.2,3.6,3.4,3.7,3.6,2.8,4.0,2.0,2.7
University of Wisconsin - Stevens Point,Wisconsin,297.0,3.8,3.8,3.9,3.8,3.7,3.5,4.2,3.3,3.4
Lincoln University,Missouri,19.0,3.3,3.2,3.6,3.3,3.3,3.2,3.7,2.8,3.0
Sherman College of Chiropractic,South Carolina,9.0,2.8,3.0,2.9,3.1,3.0,2.4,3.4,3.0,3.0
Freed-Hardeman University,Tennessee,45.0,3.5,3.1,3.9,3.6,4.0,3.9,4.7,2.8,3.3
Suffolk County Community College,New York,56.0,3.3,3.4,3.2,3.2,2.8,2.8,3.9,2.6,3.5
SUNY Polytechnic Institute,New York,104.0,3.3,2.9,3.0,2.9,2.9,2.4,4.5,2.6,2.8
San Diego Miramar College,California,111.0,4.2,4.3,4.0,3.6,2.8,2.7,4.4,3.3,3.9
Brevard College,North Carolina,22.0,2.8,4.0,3.6,3.1,2.8,2.9,3.8,2.3,2.4
Drake University,Iowa,208.0,3.9,3.6,4.0,4.2,3.8,3.6,3.3,2.5,2.9
Grand View University,Iowa,41.0,3.9,3.4,3.7,3.4,3.3,3.1,4.0,2.5,2.9
University of Massachusetts - Dartmouth,Massachusetts,269.0,3.1,3.6,3.6,3.5,3.4,3.3,3.5,2.7,2.9
Bronx Community College,New York,228.0,3.3,3.3,3.4,3.3,2.9,2.9,4.3,2.8,3.2
Santiago Canyon College,California,171.0,4.1,4.3,4.3,4.0,3.1,3.2,4.6,2.8,3.5
Worcester State University,Massachusetts,220.0,3.6,3.5,3.6,3.4,3.2,3.0,3.8,2.7,3.2
LaGuardia Community College,New York,406.0,3.4,3.5,3.7,3.5,3.0,3.0,4.0,3.0,3.3
Queens University of Charlotte,North Carolina,63.0,4.0,4.5,3.8,3.9,3.2,3.1,4.7,2.0,2.5
University of Phoenix,Arizona,15.0,3.9,3.9,4.0,3.9,3.4,3.3,4.2,3.5,3.9
Buffalo State University,New York,382.0,3.3,3.4,3.4,3.3,3.3,3.2,2.5,2.7,3.2
Wilbur Wright College,Illinois,121.0,3.6,3.9,3.7,3.5,2.9,3.0,4.4,2.8,3.0
University of Wyoming,Wyoming,168.0,4.1,3.5,3.9,3.6,3.5,3.7,4.2,3.2,3.6
University of Minnesota Morris,Minnesota,114.0,3.9,2.5,3.9,3.6,3.6,3.3,4.6,2.5,3.2
Blinn College,Texas,219.0,3.1,3.4,3.4,3.0,2.4,2.5,4.0,2.6,2.8
University of Nevada - Reno,Nevada,633.0,4.2,3.9,4.1,3.7,3.8,3.8,3.5,3.3,3.6
Front Range Community College,Colorado,48.0,3.0,3.4,3.7,3.2,2.8,2.8,3.6,2.8,3.2
Arkansas State University Mid-South,Arkansas,9.0,4.2,3.9,4.3,3.7,2.8,3.2,5.0,3.3,3.9
University of New England,Maine,145.0,3.7,4.1,3.6,3.7,3.4,3.0,4.5,2.4,3.0
Lipscomb University,Tennessee,113.0,4.0,4.5,3.9,4.0,3.3,3.5,4.6,3.2,3.4
Pillar College,New Jersey,7.0,3.4,3.9,4.3,3.7,2.9,3.6,4.0,2.7,4.4
Lasell University,Massachusetts,87.0,3.7,4.1,3.7,3.8,3.6,3.4,4.7,2.9,3.6
Suffolk County Community College,New York,134.0,3.7,3.9,3.9,3.8,3.4,3.1,4.4,3.3,3.5
Valdosta State University,Georgia,290.0,4.0,3.5,3.8,3.4,3.5,3.4,3.4,3.0,2.9
Park University,Missouri,47.0,3.7,3.9,3.8,3.4,3.2,3.0,4.4,2.8,3.4
Lake Erie College of Osteopathic Medicine,Pennsylvania,24.0,2.5,2.6,2.0,2.7,2.6,2.1,4.3,2.3,2.4
Dickinson State University,North Dakota,23.0,2.8,2.5,3.2,2.6,2.7,2.4,3.3,1.9,3.0
Valley City State University,North Dakota,22.0,3.8,2.7,3.3,3.4,3.3,3.1,4.2,2.8,3.7
Elms College,Massachusetts,27.0,3.2,3.0,3.6,3.4,2.8,2.6,3.1,2.5,3.6
Xavier University of Louisiana,Louisiana,91.0,2.8,3.0,3.2,3.7,3.2,2.9,2.5,2.6,2.6
University of Houston - Clear Lake,Texas,233.0,3.6,4.1,3.5,3.3,3.0,2.9,4.3,2.7,3.5
Five Towns College,New York,28.0,2.5,2.8,2.8,2.9,2.6,2.7,2.6,2.3,2.7
University of Mary,North Dakota,60.0,3.5,2.9,3.6,3.6,2.9,3.2,4.5,3.2,2.9
Newman University,Kansas,25.0,3.8,3.4,3.0,3.3,2.4,2.3,3.1,2.7,2.7
Friends University,Kansas,24.0,4.0,3.8,3.8,3.3,3.2,3.3,4.2,2.8,2.8
Mission College,California,142.0,3.6,4.0,3.6,3.5,2.8,2.9,4.2,3.1,3.5
Mount Mary University,Wisconsin,28.0,3.5,3.7,3.5,3.4,2.7,2.3,4.8,2.1,2.3
Barton College,North Carolina,14.0,2.4,2.3,3.1,3.0,2.6,3.0,4.1,2.1,2.8
Davenport University,Michigan,7.0,3.4,3.6,3.3,2.7,2.6,2.9,3.5,1.4,3.9
Naropa University,Colorado,11.0,3.0,3.5,3.6,3.2,3.1,3.6,4.3,4.3,3.6
Benedictine University,Illinois,110.0,3.1,3.4,3.2,3.2,2.8,2.5,4.5,2.6,2.9
Lawrence Technological University,Michigan,108.0,3.3,3.1,3.6,3.7,2.8,2.8,4.0,2.1,3.1
